rank,family,size,component,index,value_0,value_1
4,spectral_mse,64,0,7,-0.2699294686317444,0.9217084646224976
4,spectral_mse,64,0,8,0.9058443307876587,-0.3675133287906647
4,spectral_mse,64,0,9,-0.857986330986023,0.07768948376178741
4,spectral_mse,64,0,10,-0.6206878423690796,-0.13639181852340698
4,spectral_mse,64,0,11,-0.14077258110046387,0.41118893027305603
4,spectral_mse,64,0,12,0.6336000561714172,0.06779545545578003
4,spectral_mse,64,0,13,0.4061505198478699,0.9093294143676758
4,spectral_mse,64,0,14,0.1661543995141983,-0.2140430510044098
4,spectral_mse,64,0,15,-0.10603173077106476,-0.48163092136383057
4,spectral_mse,64,0,16,-0.1913357824087143,-0.2980462610721588
4,spectral_mse,64,0,17,0.3498411178588867,-0.2697070240974426
4,spectral_mse,64,0,18,-0.568898618221283,0.07269200682640076
4,spectral_mse,64,0,19,0.3647165894508362,-0.8315035700798035
4,spectral_mse,64,0,20,0.3163186311721802,0.250465452671051
4,spectral_mse,64,0,21,0.4100252687931061,-0.0775211900472641
4,spectral_mse,64,0,22,0.9194134473800659,0.26553699374198914
4,spectral_mse,64,0,23,-0.5037753582000732,0.5648502707481384
4,spectral_mse,64,0,24,0.8538976907730103,0.5551616549491882
4,spectral_mse,64,0,25,0.010482530109584332,0.7003468871116638
4,spectral_mse,64,0,26,0.9394822716712952,0.9487093091011047
4,spectral_mse,64,0,27,-0.8482779860496521,0.8524030447006226
4,spectral_mse,64,0,28,0.9419487714767456,-0.04349600523710251
4,spectral_mse,64,0,29,-0.05193387717008591,-0.20297369360923767
4,spectral_mse,64,0,30,-0.19552312791347504,-0.6937970519065857
4,spectral_mse,64,0,31,0.25822800397872925,0.6405539512634277
4,spectral_mse,64,0,32,-0.8511698246002197,-0.46929219365119934
4,spectral_mse,64,0,33,-0.16530390083789825,0.21331751346588135
4,spectral_mse,64,0,34,0.09018193185329437,-0.6187843680381775
4,spectral_mse,64,0,35,-0.4848596453666687,-0.32611700892448425
4,spectral_mse,64,0,36,0.06267686933279037,0.4793003499507904
4,spectral_mse,64,0,37,0.0603569820523262,0.9665595293045044
4,spectral_mse,64,0,38,-0.5581621527671814,0.28620144724845886
4,spectral_mse,64,0,39,-0.38503509759902954,-0.013417748734354973
4,spectral_mse,64,0,40,0.2301430106163025,-0.03503536060452461
4,spectral_mse,64,0,41,0.2865042984485626,0.4246681332588196
4,spectral_mse,64,0,42,0.39457544684410095,0.09906356781721115
4,spectral_mse,64,0,43,-0.9217751622200012,-0.9177559614181519
4,spectral_mse,64,0,44,-0.06695385277271271,-0.012595451436936855
4,spectral_mse,64,0,45,-0.20177766680717468,-0.11052203178405762
4,spectral_mse,64,0,46,0.13046066462993622,0.28607046604156494
4,spectral_mse,64,0,47,-0.9327594637870789,-0.15754558145999908
4,spectral_mse,64,0,48,-0.20665770769119263,0.6004948616027832
4,spectral_mse,64,0,49,-0.2087792456150055,0.062411077320575714
4,spectral_mse,64,0,50,0.5048217177391052,0.5676860809326172
