seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,method,fraction_of_exact_gain,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,8,canonical,approximate_bf16,0.05134187106517267,0.1841656118631363,0.9830760359764099,1.0015969276428223,0.9555254578590393,0.5647032260894775,1.0462805032730103,,,
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,8,canonical,approximate_bf16,0.055435645959924514,0.18281500041484833,0.9833282232284546,1.0018527507781982,0.9504642486572266,0.5692235827445984,1.0460842847824097,,,
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,8,canonical,approximate_bf16,1.0195956684722423,0.15898384153842926,0.9873795509338379,1.001174807548523,0.9241954684257507,0.5951458215713501,1.0515836477279663,,,
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,8,canonical,approximate_bf16,1.0064436864674644,0.14628329873085022,0.9893231391906738,1.0018116235733032,0.89945387840271,0.6162470579147339,1.0507310628890991,,,
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,8,canonical,approximate_bf16,1.001808364321736,0.11711329221725464,0.9931660890579224,1.0026668310165405,0.8364942073822021,0.6683318614959717,1.0509414672851562,,,
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,8,canonical,approximate_bf16,0.9985530627297142,0.09355698525905609,0.9956391453742981,1.0025811195373535,0.7575016617774963,0.7289736270904541,1.0533355474472046,,,
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,8,canonical,approximate_bf16,0.9842703880566597,0.07289180159568787,0.9973544478416443,1.0023467540740967,0.6594635248184204,0.7941508889198303,1.0502076148986816,,,
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,8,canonical,approximate_bf16,1.0,0.158986434340477,0.9873796701431274,1.0012390613555908,0.9249480366706848,0.5943896174430847,1.0513662099838257,0.9331122636795044,0.5646511316299438,0.9999998211860657
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,8,canonical,approximate_bf16,0.9999464101233262,0.14626990258693695,0.9893256425857544,1.001837134361267,0.8999125957489014,0.6158568263053894,1.0507370233535767,0.9097964763641357,0.5861361026763916,0.9999994039535522
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,8,canonical,approximate_bf16,1.0001098390301055,0.11703255027532578,0.9931735992431641,1.0024420022964478,0.837472140789032,0.6681410670280457,1.0525532960891724,0.858116090297699,0.6318195462226868,0.9999991059303284
