seed,update,parameter_id,parameter_name,shape,method,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro
0,128,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,0.023404285311698914,0.0024820121470838785,0.11214994639158249,0.024911852553486824,0.002482000971212983,0.10463854670524597
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,0.07884635031223297,0.008516105823218822,0.11046768724918365,0.06952843070030212,0.008515974506735802,0.12610317766666412
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,0.03855764865875244,0.004832518752664328,0.13306580483913422,0.03587283939123154,0.0048324610106647015,0.14445659518241882
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,0.02421538345515728,0.0022778597194701433,0.09487284719944,0.0187862329185009,0.0022778117563575506,0.12299048155546188
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,0.03845755010843277,0.004814292769879103,0.13536016643047333,0.036426473408937454,0.0048143211752176285,0.1443142592906952
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.039956770837306976,0.004333052318543196,0.10957478731870651,0.03735804185271263,0.004333009943366051,0.11737335473299026
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.01085473969578743,0.000757513742428273,0.07025262713432312,0.010868929326534271,0.000757515721488744,0.07016003876924515
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.008230498991906643,0.0004020754131488502,0.048802584409713745,0.008437544107437134,0.0004020782362204045,0.0476076640188694
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.008800043724477291,0.0004548607103060931,0.0521777868270874,0.008699172176420689,0.00045486039016395807,0.052794452756643295
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.039828795939683914,0.004060870036482811,0.1030929908156395,0.03743402659893036,0.004060863982886076,0.10985063016414642
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.009483307600021362,0.0006051219534128904,0.06408465653657913,0.009659070521593094,0.0006051213131286204,0.06290864944458008
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.007376395631581545,0.00032563312561251223,0.044055428355932236,0.0074889264069497585,0.00032563312561251223,0.043396029621362686
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.00797959789633751,0.0003686918062157929,0.04650596156716347,0.008054696023464203,0.00036869142786599696,0.046066734939813614
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.04397072270512581,0.00526146637275815,0.12105846405029297,0.044954657554626465,0.005261496640741825,0.11834936589002609
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.017187172546982765,0.0018836258677765727,0.11282796412706375,0.019112873822450638,0.0018836514791473746,0.10088539868593216
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.010522701777517796,0.0009750652243383229,0.09308472275733948,0.013175003230571747,0.000975080649368465,0.07422417402267456
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.016549130901694298,0.001498955418355763,0.09449663013219833,0.017389867454767227,0.0014989585615694523,0.08955545723438263
0,128,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.042124345898628235,0.005318772979080677,0.12785489857196808,0.04557998850941658,0.005318828858435154,0.1179448589682579
0,128,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.0185109730809927,0.0020671512465924025,0.1148272231221199,0.020893894135951996,0.002067175228148699,0.10111132264137268
