seed,update,parameter_id,shape,method,out_of_subspace_delta_norm_sq,out_of_subspace_fraction,frechet_relative_l2
0,512,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,62.89453789174659,0.756969905624109,0.5285421013832092
0,512,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,39.69210759461748,0.7711530262304988,0.4160008430480957
0,512,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,37.129304283657625,0.7491799522061614,0.40820446610450745
0,512,transformer.h.3.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,71.81803035523305,0.7657249127399327,0.5615556240081787
0,512,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,64.68571238591281,0.7549786801256156,0.5363918542861938
0,512,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,41.24778075376027,0.7690340198226062,0.4243975579738617
0,512,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,38.7963721651513,0.7476820550823162,0.4174288213253021
0,512,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,72.06302662538285,0.7632019692762345,0.5630952715873718
0,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,45.80279065047487,0.739356542511382,0.45499441027641296
0,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,33.54563301429219,0.7561752248890737,0.3850293457508087
0,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,27.909167266212673,0.7321508603109149,0.35691121220588684
0,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,64.80609767064593,0.7473244384202962,0.5383198261260986
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,441.8107673324502,0.5590807124428848,1.6494444608688354
